RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
15299,0.25498333333333334,0.0,19.899307
15349,0.2558166666666667,0.0,0.0
15399,0.25665,0.0,1.70752
15449,0.25748333333333334,0.0,14.543446
15499,0.2583166666666667,0.0,65.39776
15549,0.25915,0.0,79.53015
15599,0.25998333333333334,0.0,68.51465
15649,0.26081666666666664,0.0,57.59394
15699,0.26165,0.0,36.72448
15749,0.26248333333333335,0.0,17.811626
15799,0.26331666666666664,0.0,15.234901
15849,0.26415,0.0,0.0
15899,0.26498333333333335,0.0,3.1703894
15949,0.26581666666666665,0.0,61.766655
15999,0.26665,0.0,106.64115
16049,0.26748333333333335,0.0,63.83377
16099,0.26831666666666665,0.0,11.850155
16149,0.26915,0.0,1.0222933
16199,0.26998333333333335,0.0,25.784832
16249,0.27081666666666665,0.0,14.494464
16299,0.27165,0.0,13.256875
16349,0.27248333333333336,0.0,32.3014
16399,0.27331666666666665,0.0,29.898325
16449,0.27415,0.0,36.451756
16499,0.27498333333333336,0.0,20.414976
16549,0.27581666666666665,0.0,13.678762
16599,0.27665,0.0,0.0
16649,0.27748333333333336,0.0,0.0
16699,0.27831666666666666,0.0,49.966846
16749,0.27915,0.0,55.29011
16799,0.2799833333333333,0.0,35.180885
16849,0.28081666666666666,0.0,0.0
16899,0.28165,0.0,0.0
16949,0.2824833333333333,0.0,0.0
16999,0.28331666666666666,0.0,51.397633
17049,0.28415,0.0,75.2983
17099,0.2849833333333333,0.0,84.34859
17149,0.28581666666666666,0.0,68.763054
17199,0.28665,0.0,76.08738
17249,0.2874833333333333,0.0,31.945984
17299,0.28831666666666667,0.0,13.549056
17349,0.28915,0.0,12.400981
17399,0.2899833333333333,0.0,44.623104
17449,0.29081666666666667,0.0,56.13918
17499,0.29165,0.0,48.664234
17549,0.2924833333333333,0.0,12.806742
17599,0.29331666666666667,0.0,2.3305387
17649,0.29415,0.0,6.486101
17699,0.2949833333333333,0.0,17.298603
17749,0.29581666666666667,0.0,24.441088
17799,0.29665,0.0,6.561536
17849,0.2974833333333333,0.0,22.25698
17899,0.2983166666666667,0.0,12.917077
17949,0.29915,0.0,18.174976
